En serenidad, positiva
Serenidad, positiva 
extraña porque nunca habia pasado algo asi, neutra
Bien, positiva
Estresada, negativa
Tranquila y feliz porque podía realizar actividades de la escuela y poder convivir con mi familia, positiva
extresada, negativa
Tranquila debido a que podría realizar más actividades con modalidad online, positiva
Aburrido distraído, negativa
Me sentí un poco confuso y distraído, negativa
triste, negativa
Aburrida, negativa
Agobiado, negativa
Me sentía con más confianza en clases, positiva
Muy bien, positiva
Sentía que era una manera distinta de aprender que no había tenido antes y fue muy estresante y frustrante cuando sentía que no interactuaba lo suficiente, negativa
Apagada, negativa
Bien, positiva 
Deprimida, negativa
Me sentía comoda, positiva
Bien, positiva
Cansada ya que no estaba acostumbrada a eso, negativa
Decaído, negativa
Abrumada por todas las distracciones en casa y la concentración no era la misma, negativa 
Bastante bien, positiva
Regular, neutra
Cansada, negativa
Bien, positiva
Agusto, positiva
BASTANTE BIEN, positiva
Bastante tranquilo, positiva
Me sentí bien, positiva
Muy bien, positiva
Genial, positiva
Muy estresada, negativa
Bien, positiva
Muy bien me sentía tranquilo, positiva 
Muy bien, positiva
Mal, negativa
Aburrido, negativa
Me sentí muy estresada y cansada era frustrante estar todo el día en un solo lugar, negativa
Pues bien solo que no comprendia del todo en línea, positiva
Bastante abrumado debido al desconocimiento de una nueva universidad y como funcionan las puntuaciones para una buena calificación, negativa
Al principio emoción ya que empezaba con la vida universitaria, positiva
Muy cansada y a veces aburrida, negativa
Bien, positiva
Un poco relajado, positiva 
Estable, positiva
Estresada, negativa
Estresada, negativa
Cansado, negativa
Triste, negativa
Bien, positiva
Triste, negativa
Bien, positiva
Feliz, positiva
Relajado, positiva
Feliz aunque aburrido, neutra 
Realajado, positiva
Mal, negativa
Agusto, positiva
Bien cómodo, positiva
Me sentia frustrada porque no entendia algunos conceptos o por que se escuchaba mal algunas cosas, negativa
Disociado, negativa
Bien pq era más fácil, positiva 
Deprimido ya que no conectaba con mis compañeros, negativa
Cómoda, positiva
Un poco de depresión debido a falta de convivencia en persona, negativa
Mal ya que no pude tomar las clases muy bien, negativa
Me sentia confundido y con miedo, negativa
Mal, negativa
Me frustraba por qué aveces batallaba con el internet, negativa
Al salir de clases en línea presente síntomas de ansiedad y depresión, negativa
Me sentí bien, positiva
Tranquila y agusto, positiva
Un poco estresado, negativa
Un tanto aburridas por no tener contacto con nadie, negativa 
No tan bien ya que uno no se podía relacionar más con nuestros compañeros y maestros, negativa 
Un tanto frustrada y con un mayor carga emocional al estar encerrada, negativa 
Con sueño, negativa
Aburrido, negativa
